host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,total_review_activity,host_type,availability_type
2787,Brooklyn,Kensington,40.64749,-73.97237,Private room,149,1,9,0.21,6,365,1.89,Medium Host,High Availability
2845,Manhattan,Midtown,40.75362,-73.98377,Entire home/apt,225,1,45,0.38,2,355,17.1,Small Host,High Availability
4632,Manhattan,Harlem,40.80902,-73.9419,Private room,150,3,0,0.0,1,365,0.0,Single Listing,High Availability
4869,Brooklyn,Clinton Hill,40.68514,-73.95976,Entire home/apt,89,1,270,4.64,1,194,1252.8,Single Listing,High Availability
7192,Manhattan,East Harlem,40.79851,-73.94399,Entire home/apt,80,10,9,0.1,1,0,0.9,Single Listing,Low Availability
7322,Manhattan,Murray Hill,40.74767,-73.975,Entire home/apt,200,3,74,0.59,1,129,43.66,Single Listing,Medium Availability
7356,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,Private room,60,45,49,0.4,1,0,19.6,Single Listing,Low Availability
8967,Manhattan,Hell's Kitchen,40.76489,-73.98493,Private room,79,2,430,3.47,1,220,1492.1000000000001,Single Listing,High Availability
7490,Manhattan,Upper West Side,40.80178,-73.96723,Private room,79,2,118,0.99,1,0,116.82,Single Listing,Low Availability
7549,Manhattan,Chinatown,40.71344,-73.99037,Entire home/apt,150,1,160,1.33,4,188,212.8,Small Host,High Availability
7702,Manhattan,Upper West Side,40.80316,-73.96545,Entire home/apt,135,5,53,0.43,1,6,22.79,Single Listing,Low Availability
7989,Manhattan,Hell's Kitchen,40.76076,-73.98867,Private room,85,2,188,1.5,1,39,282.0,Single Listing,Medium Availability
9744,Brooklyn,South Slope,40.66829,-73.98779,Private room,89,4,167,1.34,3,314,223.78,Small Host,High Availability
11528,Manhattan,Upper West Side,40.79826,-73.96113,Private room,85,2,113,0.91,1,333,102.83,Single Listing,High Availability
11975,Manhattan,West Village,40.7353,-74.00525,Entire home/apt,120,90,27,0.22,1,0,5.94,Single Listing,Low Availability
15991,Brooklyn,Williamsburg,40.70837,-73.95352,Entire home/apt,140,2,148,1.2,1,46,177.6,Single Listing,Medium Availability
17571,Brooklyn,Fort Greene,40.69169,-73.97185,Entire home/apt,215,2,198,1.72,1,321,340.56,Single Listing,High Availability
18946,Manhattan,Chelsea,40.74192,-73.99501,Private room,140,1,260,2.12,1,12,551.2,Single Listing,Low Availability
20950,Brooklyn,Crown Heights,40.67592,-73.94694,Entire home/apt,99,3,53,4.44,1,21,235.32000000000002,Single Listing,Low Availability
17985,Manhattan,East Harlem,40.79685,-73.94872,Entire home/apt,190,7,0,0.0,2,249,0.0,Small Host,High Availability
21207,Brooklyn,Williamsburg,40.71842,-73.95718,Entire home/apt,299,3,9,0.07,1,0,0.6300000000000001,Single Listing,Low Availability
22486,Brooklyn,Park Slope,40.68069,-73.97706,Private room,130,2,130,1.09,6,347,141.70000000000002,Medium Host,High Availability
22486,Brooklyn,Park Slope,40.67989,-73.97798,Private room,80,1,39,0.37,6,364,14.43,Medium Host,High Availability
22486,Brooklyn,Park Slope,40.68001,-73.97865,Private room,110,2,71,0.61,6,304,43.31,Medium Host,High Availability
25183,Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028,Entire home/apt,120,2,88,0.73,2,233,64.24,Small Host,High Availability
25326,Brooklyn,Windsor Terrace,40.65599,-73.97519,Private room,60,1,19,1.37,2,85,26.03,Small Host,Medium Availability
26394,Manhattan,Inwood,40.86754,-73.92639,Private room,80,4,0,0.0,1,0,0.0,Single Listing,Low Availability
30193,Manhattan,Hell's Kitchen,40.76715,-73.98533,Entire home/apt,150,10,58,0.49,1,75,28.419999999999998,Single Listing,Medium Availability
31374,Manhattan,Inwood,40.86482,-73.92106,Private room,44,3,108,1.11,3,311,119.88000000000001,Small Host,High Availability
21904,Manhattan,East Village,40.7292,-73.98542,Entire home/apt,180,14,29,0.24,1,67,6.96,Single Listing,Medium Availability
32294,Manhattan,Harlem,40.82245,-73.95104,Private room,50,3,242,2.04,3,355,493.68,Small Host,High Availability
32045,Manhattan,Harlem,40.81305,-73.95466,Private room,52,2,88,1.42,1,255,124.96,Single Listing,High Availability
32169,Brooklyn,Greenpoint,40.72219,-73.93762,Private room,55,4,197,1.65,3,284,325.04999999999995,Small Host,High Availability
32294,Manhattan,Harlem,40.8213,-73.95318,Private room,50,3,273,2.37,3,359,647.01,Small Host,High Availability
35935,Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473,Private room,70,1,74,0.66,2,269,48.84,Small Host,High Availability
9744,Brooklyn,South Slope,40.66869,-73.9878,Private room,89,4,168,1.41,3,340,236.88,Small Host,High Availability
7355,Brooklyn,Bedford-Stuyvesant,40.68876,-73.94312,Private room,35,60,0,0.0,1,365,0.0,Single Listing,High Availability
44145,Brooklyn,Bushwick,40.70186,-73.92745,Entire home/apt,85,2,231,1.96,2,22,452.76,Small Host,Low Availability
45445,Brooklyn,Flatbush,40.63702,-73.96327,Private room,150,1,0,0.0,1,365,0.0,Single Listing,High Availability
7549,Manhattan,Lower East Side,40.71401,-73.98917,Shared room,40,1,214,1.81,4,188,387.34000000000003,Small Host,High Availability
46978,Manhattan,East Village,40.7229,-73.98199,Private room,68,2,245,2.08,2,96,509.6,Small Host,Medium Availability
47610,Brooklyn,South Slope,40.66278,-73.97966,Entire home/apt,120,3,15,0.39,1,345,5.8500000000000005,Single Listing,High Availability
47618,Brooklyn,Fort Greene,40.69673,-73.97584,Private room,120,7,25,0.23,1,311,5.75,Single Listing,High Availability
16800,Manhattan,Upper West Side,40.79009,-73.97927,Private room,135,4,81,0.69,1,273,55.88999999999999,Single Listing,High Availability
47727,Manhattan,Harlem,40.81175,-73.94478,Entire home/apt,150,7,97,0.84,1,309,81.48,Single Listing,High Availability
49670,Brooklyn,Prospect-Lefferts Gardens,40.65944,-73.96238,Entire home/apt,150,29,11,0.49,1,95,5.39,Single Listing,Medium Availability
50124,Queens,Long Island City,40.74771,-73.9474,Private room,130,3,248,2.25,1,215,558.0,Single Listing,High Availability
50148,Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591,Entire home/apt,110,7,61,0.52,1,265,31.720000000000002,Single Listing,High Availability
50846,Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409,Entire home/apt,115,3,11,0.1,1,0,1.1,Single Listing,Low Availability
52335,Brooklyn,Fort Greene,40.69142,-73.97376,Private room,80,3,135,1.16,2,192,156.6,Small Host,High Availability
54275,Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934,Private room,80,1,112,1.01,3,251,113.12,Small Host,High Availability
56094,Manhattan,Upper West Side,40.78635,-73.97008,Entire home/apt,151,2,73,0.63,1,302,45.99,Single Listing,High Availability
56104,Brooklyn,Williamsburg,40.7042,-73.9356,Entire home/apt,228,3,82,0.7,1,140,57.4,Single Listing,Medium Availability
56246,Brooklyn,Greenpoint,40.73506,-73.95392,Entire home/apt,144,2,328,2.82,1,234,924.9599999999999,Single Listing,High Availability
56284,Manhattan,Kips Bay,40.73961,-73.98074,Entire home/apt,200,7,19,0.22,1,257,4.18,Single Listing,High Availability
56512,Brooklyn,Williamsburg,40.70881,-73.9593,Entire home/apt,150,30,105,0.9,1,30,94.5,Single Listing,Low Availability
59023,Manhattan,Lower East Side,40.72004,-73.99104,Private room,110,5,19,0.17,1,301,3.2300000000000004,Single Listing,High Availability
59734,Manhattan,Hell's Kitchen,40.75531,-73.99293,Private room,69,2,289,2.49,2,294,719.61,Small Host,High Availability
32169,Brooklyn,Greenpoint,40.72401,-73.93788,Private room,49,4,138,1.19,3,320,164.22,Small Host,High Availability
60049,Manhattan,SoHo,40.7221,-73.99775,Entire home/apt,180,30,21,0.3,1,154,6.3,Single Listing,Medium Availability
60252,Brooklyn,Williamsburg,40.71185,-73.96204,Private room,80,2,42,0.38,1,263,15.96,Single Listing,High Availability
61491,Manhattan,Upper East Side,40.77065,-73.95269,Entire home/apt,250,2,66,0.57,2,231,37.62,Small Host,High Availability
63588,Brooklyn,Prospect Heights,40.67811,-73.96428,Entire home/apt,200,30,143,1.33,2,297,190.19,Small Host,High Availability
63613,Brooklyn,Clinton Hill,40.69,-73.96788,Private room,55,7,27,0.23,2,292,6.21,Small Host,High Availability
63924,Manhattan,Hell's Kitchen,40.75979,-73.99119,Private room,52,30,191,1.65,1,191,315.15,Single Listing,High Availability
64056,Brooklyn,Park Slope,40.67343,-73.98338,Entire home/apt,225,3,4,0.16,1,0,0.64,Single Listing,Low Availability
64442,Manhattan,East Village,40.72649,-73.97904,Private room,80,1,338,4.72,2,72,1595.36,Small Host,Medium Availability
64522,Brooklyn,Williamsburg,40.70933,-73.96792,Entire home/apt,275,1,148,1.4,1,362,207.2,Single Listing,High Availability
4396,Manhattan,East Village,40.72298,-73.98474,Private room,99,1,106,1.26,2,336,133.56,Small Host,High Availability
65837,Manhattan,East Harlem,40.80164,-73.93922,Entire home/apt,225,4,190,1.64,1,215,311.59999999999997,Single Listing,High Availability
66035,Manhattan,East Village,40.72162,-73.98008,Entire home/apt,230,9,49,0.43,1,116,21.07,Single Listing,Medium Availability
66243,Manhattan,Hell's Kitchen,40.76342,-73.98865,Private room,51,7,23,0.43,1,88,9.89,Single Listing,Medium Availability
68428,Manhattan,Washington Heights,40.83139,-73.94095,Private room,65,2,49,1.6,2,336,78.4,Small Host,High Availability
68599,Brooklyn,Clinton Hill,40.68346,-73.96374,Private room,105,2,105,0.92,1,304,96.60000000000001,Single Listing,High Availability
69829,Manhattan,East Village,40.72828,-73.98801,Entire home/apt,190,5,21,0.2,1,224,4.2,Single Listing,High Availability
69942,Manhattan,Upper East Side,40.76865,-73.95058,Private room,200,1,142,1.5,1,322,213.0,Single Listing,High Availability
70091,Queens,Woodside,40.75038,-73.90334,Private room,70,30,25,0.22,1,324,5.5,Single Listing,High Availability
71512,Brooklyn,Fort Greene,40.6932,-73.97267,Private room,95,3,143,1.28,1,132,183.04,Single Listing,Medium Availability
71876,Manhattan,Chelsea,40.74138,-74.00197,Private room,150,3,167,1.65,1,295,275.55,Single Listing,High Availability
72014,Brooklyn,Williamsburg,40.71154,-73.96112,Private room,145,3,61,0.54,4,238,32.940000000000005,Small Host,High Availability
73051,Manhattan,Harlem,40.82915,-73.95136,Entire home/apt,110,31,54,0.49,1,209,26.46,Single Listing,High Availability
73128,Manhattan,Lower East Side,40.71851,-73.98892,Entire home/apt,285,5,70,0.62,1,328,43.4,Single Listing,High Availability
73469,Brooklyn,Flatbush,40.65401,-73.96323,Entire home/apt,130,6,16,0.15,1,38,2.4,Single Listing,Medium Availability
44263,Manhattan,Lower East Side,40.7114,-73.98794,Private room,94,30,94,0.84,1,188,78.96,Single Listing,High Availability
74857,Brooklyn,Williamsburg,40.71833,-73.95748,Entire home/apt,105,3,61,0.53,1,272,32.33,Single Listing,High Availability
62407,Manhattan,East Village,40.72334,-73.9844,Private room,60,3,194,1.73,1,26,335.62,Single Listing,Low Availability
76627,Manhattan,East Village,40.72912,-73.98057,Private room,50,1,2,0.05,1,0,0.1,Single Listing,Low Availability
72014,Brooklyn,Williamsburg,40.71156,-73.96218,Private room,85,3,174,1.54,4,288,267.96,Small Host,High Availability
961342,Brooklyn,Bushwick,40.70032,-73.9383,Private room,65,4,24,0.28,1,317,6.720000000000001,Single Listing,High Availability
78460,Brooklyn,Prospect Heights,40.68233,-73.97261,Entire home/apt,131,4,166,3.4,1,207,564.4,Single Listing,High Availability
51038,Brooklyn,Clinton Hill,40.68634,-73.966,Private room,98,7,16,0.2,6,185,3.2,Medium Host,High Availability
79070,Brooklyn,Prospect Heights,40.68035,-73.97162,Entire home/apt,250,7,21,0.3,1,158,6.3,Single Listing,Medium Availability
79402,Brooklyn,Williamsburg,40.70984,-73.95775,Entire home/apt,100,5,168,1.57,1,0,263.76,Single Listing,Low Availability
44145,Brooklyn,Bushwick,40.70093,-73.92609,Entire home/apt,105,3,118,1.05,2,9,123.9,Small Host,Low Availability
42032,Manhattan,Upper West Side,40.79764,-73.96177,Entire home/apt,140,3,81,0.71,1,198,57.51,Single Listing,High Availability
82685,Manhattan,Harlem,40.82803,-73.94731,Private room,89,1,1,0.11,1,365,0.11,Single Listing,High Availability
83257,Manhattan,Chelsea,40.74008,-74.00271,Private room,98,30,30,0.27,2,364,8.100000000000001,Small Host,High Availability
87773,Brooklyn,Bedford-Stuyvesant,40.68413,-73.92357,Entire home/apt,125,7,139,1.23,2,311,170.97,Small Host,High Availability
32294,Manhattan,Harlem,40.82279,-73.95139,Private room,60,3,11,0.87,3,219,9.57,Small Host,High Availability
11481,Brooklyn,Carroll Gardens,40.67967,-74.00154,Entire home/apt,175,2,233,2.09,3,342,486.96999999999997,Small Host,High Availability
63318,Manhattan,Washington Heights,40.83927,-73.94281,Private room,65,2,68,0.6,1,312,40.8,Single Listing,High Availability
97219,Brooklyn,Williamsburg,40.71332,-73.94177,Private room,101,3,335,3.02,1,152,1011.7,Single Listing,Medium Availability
97797,Brooklyn,Park Slope,40.66941,-73.98109,Entire home/apt,220,30,88,0.79,1,9,69.52000000000001,Single Listing,Low Availability
87773,Brooklyn,Bedford-Stuyvesant,40.68373,-73.92377,Entire home/apt,125,90,162,1.46,2,137,236.51999999999998,Small Host,Medium Availability
105538,Brooklyn,Williamsburg,40.71459,-73.94844,Entire home/apt,80,30,29,0.4,1,222,11.600000000000001,Single Listing,High Availability
107628,Manhattan,Harlem,40.8092,-73.94421,Private room,100,2,170,1.61,1,346,273.7,Single Listing,High Availability
109589,Brooklyn,Gowanus,40.68157,-73.98989,Entire home/apt,200,30,19,0.2,1,208,3.8000000000000003,Single Listing,High Availability
59734,Manhattan,Hell's Kitchen,40.75527,-73.99291,Private room,59,2,334,3.0,2,279,1002.0,Small Host,High Availability
51038,Brooklyn,Clinton Hill,40.68698,-73.96572,Private room,125,2,19,0.2,6,250,3.8000000000000003,Medium Host,High Availability
112793,Manhattan,East Village,40.7288,-73.98192,Entire home/apt,140,7,12,0.13,1,164,1.56,Single Listing,Medium Availability
42273,Brooklyn,South Slope,40.66853,-73.98912,Entire home/apt,120,30,467,4.22,2,192,1970.7399999999998,Small Host,High Availability
115157,Manhattan,Kips Bay,40.74294,-73.98009,Entire home/apt,199,5,38,0.38,1,260,14.44,Single Listing,High Availability
115307,Brooklyn,Williamsburg,40.71942,-73.95748,Entire home/apt,325,3,324,3.01,1,107,975.2399999999999,Single Listing,Medium Availability
115560,Manhattan,Upper West Side,40.77823,-73.97637,Entire home/apt,235,6,27,0.27,1,199,7.290000000000001,Single Listing,High Availability
72062,Manhattan,East Village,40.72555,-73.97965,Entire home/apt,225,1,115,1.05,4,299,120.75,Small Host,High Availability
118971,Brooklyn,South Slope,40.66831,-73.98604,Private room,99,2,354,3.2,3,20,1132.8,Small Host,Low Availability
119510,Manhattan,Harlem,40.82754,-73.94919,Entire home/apt,170,2,195,2.03,1,318,395.84999999999997,Single Listing,High Availability
119900,Manhattan,Upper West Side,40.77842,-73.97556,Entire home/apt,170,7,13,0.12,1,224,1.56,Single Listing,High Availability
120223,Manhattan,East Village,40.72245,-73.98527,Entire home/apt,100,4,25,0.23,1,0,5.75,Single Listing,Low Availability
65091,Brooklyn,Prospect-Lefferts Gardens,40.65593,-73.96053,Private room,75,2,9,0.08,1,324,0.72,Single Listing,High Availability
6197784,Brooklyn,Williamsburg,40.71923,-73.96468,Private room,90,1,9,0.08,1,245,0.72,Single Listing,High Availability
124352,Manhattan,Upper East Side,40.778,-73.94822,Entire home/apt,150,5,21,0.19,1,189,3.99,Single Listing,High Availability
124797,Manhattan,Washington Heights,40.85879,-73.93128,Private room,85,15,36,0.33,1,307,11.88,Single Listing,High Availability
35935,Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547,Private room,70,3,63,0.58,2,310,36.54,Small Host,High Availability
126607,Manhattan,Harlem,40.81618,-73.94894,Entire home/apt,120,3,155,1.42,3,213,220.1,Small Host,High Availability
127608,Brooklyn,Clinton Hill,40.68414,-73.96351,Private room,89,3,260,2.35,1,278,611.0,Single Listing,High Availability
125857,Manhattan,East Village,40.72392,-73.99143,Entire home/apt,185,5,73,0.66,1,209,48.18,Single Listing,High Availability
129352,Brooklyn,Greenpoint,40.73494,-73.9503,Private room,50,3,193,1.86,1,0,358.98,Single Listing,Low Availability
120335,Manhattan,Lower East Side,40.71341,-73.98856,Entire home/apt,105,3,32,0.29,1,16,9.28,Single Listing,Low Availability
117287,Manhattan,Hell's Kitchen,40.76754,-73.98399,Private room,130,2,50,0.45,3,234,22.5,Small Host,High Availability
135619,Manhattan,West Village,40.73442,-74.00303,Entire home/apt,115,29,26,0.25,1,12,6.5,Single Listing,Low Availability
137292,Brooklyn,Flatlands,40.63188,-73.93248,Private room,77,2,2,0.02,1,178,0.04,Single Listing,Medium Availability
137814,Brooklyn,Clinton Hill,40.6873,-73.9634,Private room,76,2,426,3.89,3,275,1657.14,Small Host,High Availability
137974,Brooklyn,Bedford-Stuyvesant,40.68296,-73.93662,Entire home/apt,125,3,227,2.09,2,163,474.42999999999995,Small Host,Medium Availability
116599,Brooklyn,Clinton Hill,40.6863,-73.96765,Private room,135,4,84,0.77,3,365,64.68,Small Host,High Availability
138579,Brooklyn,Greenpoint,40.73409,-73.95348,Entire home/apt,250,29,3,0.03,1,34,0.09,Single Listing,Medium Availability
139612,Brooklyn,Williamsburg,40.71561,-73.94835,Entire home/apt,199,3,10,0.1,1,280,1.0,Single Listing,High Availability
139874,Brooklyn,Cobble Hill,40.6857,-73.99183,Entire home/apt,140,2,4,0.04,1,0,0.16,Single Listing,Low Availability
140025,Queens,Flushing,40.74028,-73.83168,Private room,140,2,1,0.01,1,1,0.01,Single Listing,Low Availability
137974,Brooklyn,Bedford-Stuyvesant,40.68281,-73.93524,Entire home/apt,115,3,124,1.72,2,170,213.28,Small Host,Medium Availability
142833,Brooklyn,Williamsburg,40.71596,-73.93938,Entire home/apt,160,3,11,0.11,1,188,1.21,Single Listing,High Availability
143027,Brooklyn,Williamsburg,40.71492,-73.95935,Entire home/apt,195,4,240,2.19,1,214,525.6,Single Listing,High Availability
143048,Manhattan,East Village,40.72354,-73.98295,Entire home/apt,195,3,30,0.28,1,248,8.4,Single Listing,High Availability
72014,Brooklyn,Williamsburg,40.71165,-73.96087,Private room,80,3,200,1.86,4,262,372.0,Small Host,High Availability
149929,Brooklyn,Fort Greene,40.69101,-73.97312,Private room,44,8,27,1.05,5,280,28.35,Small Host,High Availability
120291,Manhattan,West Village,40.73474,-74.00101,Private room,156,4,79,0.74,1,307,58.46,Single Listing,High Availability
62165,Brooklyn,Prospect Heights,40.67386,-73.96641,Private room,85,15,9,0.09,1,339,0.8099999999999999,Single Listing,High Availability
142684,Brooklyn,Williamsburg,40.71536,-73.96057,Private room,125,3,155,1.61,1,1,249.55,Single Listing,Low Availability
137432,Brooklyn,Prospect Heights,40.6741,-73.96595,Entire home/apt,115,15,4,0.05,1,269,0.2,Single Listing,High Availability
157798,Manhattan,East Harlem,40.79295,-73.93997,Private room,69,2,34,0.32,1,10,10.88,Single Listing,Low Availability
158284,Manhattan,West Village,40.73226,-74.00401,Entire home/apt,225,45,134,1.24,1,312,166.16,Single Listing,High Availability
159370,Brooklyn,Williamsburg,40.71363,-73.96398,Entire home/apt,125,6,27,0.25,1,189,6.75,Single Listing,High Availability
92788,Manhattan,Upper East Side,40.77711,-73.9527,Entire home/apt,219,4,126,1.16,2,290,146.16,Small Host,High Availability
168417,Manhattan,Upper East Side,40.77456,-73.95323,Entire home/apt,99,1,234,2.6,2,164,608.4,Small Host,Medium Availability
168525,Brooklyn,Williamsburg,40.71088,-73.95055,Private room,69,4,202,1.86,2,53,375.72,Small Host,Medium Availability
110506,Queens,Sunnyside,40.74559,-73.92313,Private room,79,30,28,0.26,1,126,7.28,Single Listing,Medium Availability
170510,Brooklyn,Bedford-Stuyvesant,40.68306,-73.94659,Entire home/apt,135,2,309,2.86,2,3,883.74,Small Host,Low Availability
171851,Brooklyn,DUMBO,40.70207,-73.98571,Private room,250,3,14,0.13,1,189,1.82,Single Listing,High Availability
174025,Manhattan,Upper East Side,40.76123,-73.9642,Entire home/apt,250,3,4,0.08,1,365,0.32,Single Listing,High Availability
